Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_001/0/job1.0.log through 44
EXCHANGE_ACCEPT 42 (39) 43 (42) RUN 3000
EXCHANGE_ACCEPT 18 (23) 19 (22) RUN 3000
EXCHANGE_ACCEPT 22 (17) 23 (26) RUN 3000
EXCHANGE_ACCEPT 16 (21) 17 (16) RUN 3000
EXCHANGE_ACCEPT 43 (39) 44 (43) RUN 3001
EXCHANGE_ACCEPT 37 (30) 38 (38) RUN 3001
EXCHANGE_ACCEPT 16 (16) 17 (21) RUN 3002EXCHANGE_ACCEPT 30 (33) 31 (24) RUN 3002EXCHANGE_ACCEPT 18 (22) 19 (23) RUN 3002


EXCHANGE_ACCEPT 43 (43) 44 (39) RUN 3003
EXCHANGE_ACCEPT 39 (41) 40 (44) RUN 3003
EXCHANGE_ACCEPT 21 (15) 22 (26) RUN 3003
EXCHANGE_ACCEPT 41 (35) 42 (42) RUN 3003
EXCHANGE_ACCEPT 25 (28) 26 (25) RUN 3003
EXCHANGE_ACCEPT 16 (21) 17 (16) RUN 3004
EXCHANGE_ACCEPT 42 (35) 43 (39) RUN 3004
EXCHANGE_ACCEPT 24 (20) 25 (25) RUN 3004
EXCHANGE_ACCEPT 37 (38) 38 (30) RUN 3005
EXCHANGE_ACCEPT 41 (42) 42 (39) RUN 3005
EXCHANGE_ACCEPT 43 (35) 44 (43) RUN 3005
EXCHANGE_ACCEPT 9 (4) 10 (7) RUN 3005EXCHANGE_ACCEPT 21 (26) 22 (15) RUN 3005

EXCHANGE_ACCEPT 27 (31) 28 (29) RUN 3005
EXCHANGE_ACCEPT 42 (42) 43 (43) RUN 3006
EXCHANGE_ACCEPT 16 (16) 17 (21) RUN 3006
EXCHANGE_ACCEPT 18 (23) 19 (22) RUN 3006
EXCHANGE_ACCEPT 35 (40) 36 (34) RUN 3007
EXCHANGE_ACCEPT 43 (42) 44 (35) RUN 3007
EXCHANGE_ACCEPT 13 (14) 14 (11) RUN 3007
EXCHANGE_ACCEPT 9 (7) 10 (4) RUN 3007EXCHANGE_ACCEPT 17 (16) 18 (22) RUN 3007

EXCHANGE_ACCEPT 42 (43) 43 (35) RUN 3008
EXCHANGE_ACCEPT 16 (21) 17 (22) RUN 3008
EXCHANGE_ACCEPT 37 (30) 38 (38) RUN 3009
EXCHANGE_ACCEPT 43 (43) 44 (42) RUN 3009
EXCHANGE_ACCEPT 17 (21) 18 (16) RUN 3009
EXCHANGE_ACCEPT 19 (23) 20 (18) RUN 3009
EXCHANGE_ACCEPT 23 (17) 24 (25) RUN 3009
EXCHANGE_ACCEPT 38 (30) 39 (44) RUN 3010
EXCHANGE_ACCEPT 42 (35) 43 (42) RUN 3010
EXCHANGE_ACCEPT 16 (22) 17 (16) RUN 3010
EXCHANGE_ACCEPT 10 (7) 11 (10) RUN 3010
EXCHANGE_ACCEPT 35 (34) 36 (40) RUN 3011
EXCHANGE_ACCEPT 41 (39) 42 (42) RUN 3011
EXCHANGE_ACCEPT 39 (30) 40 (41) RUN 3011
EXCHANGE_ACCEPT 43 (35) 44 (43) RUN 3011
EXCHANGE_ACCEPT 17 (22) 18 (21) RUN 3011
EXCHANGE_ACCEPT 29 (32) 30 (24) RUN 3011
EXCHANGE_ACCEPT 0 (5) 1 (1) RUN 3012
EXCHANGE_ACCEPT 34 (37) 35 (40) RUN 3012
EXCHANGE_ACCEPT 16 (16) 17 (21) RUN 3012
EXCHANGE_ACCEPT 20 (23) 21 (15) RUN 3012
EXCHANGE_ACCEPT 41 (42) 42 (39) RUN 3013
EXCHANGE_ACCEPT 39 (41) 40 (30) RUN 3013
EXCHANGE_ACCEPT 17 (16) 18 (22) RUN 3013
EXCHANGE_ACCEPT 43 (43) 44 (35) RUN 3013
EXCHANGE_ACCEPT 38 (44) 39 (30) RUN 3014
EXCHANGE_ACCEPT 16 (21) 17 (22) RUN 3014
EXCHANGE_ACCEPT 22 (26) 23 (25) RUN 3014
EXCHANGE_ACCEPT 39 (44) 40 (41) RUN 3015
EXCHANGE_ACCEPT 37 (38) 38 (30) RUN 3015
EXCHANGE_ACCEPT 43 (35) 44 (43) RUN 3015
EXCHANGE_ACCEPT 23 (26) 24 (17) RUN 3015
EXCHANGE_ACCEPT 16 (22) 17 (21) RUN 3016
EXCHANGE_ACCEPT 10 (10) 11 (7) RUN 3016
EXCHANGE_ACCEPT 24 (26) 25 (20) RUN 3016
EXCHANGE_ACCEPT 43 (43) 44 (35) RUN 3017
